T,rec_id,converged,num_converged,num_incomplete,num_not_converged,num_hit_maxiter,num_diverged,num_crashed,num_error_should_be_converged,num_no_data,best_N,best_m,best_iter,min_N_converged,min_m_converged,median_iter,converged_T
T20,62,yes,49,0,0,0,0,0,0,0,5,320,78.0,5,5,1491.0,
T20,63,yes,49,0,0,0,0,0,0,0,5,320,119.0,5,5,1984.0,
T20,64,yes,49,0,0,0,0,0,0,0,5,320,88.0,5,5,1262.0,
T20,65,yes,49,0,0,0,0,0,0,0,5,160,86.0,5,5,3058.0,
T20,66,yes,49,0,0,0,0,0,0,0,5,160,164.0,5,5,3191.0,
T20,67,yes,49,0,0,0,0,0,0,0,10,320,141.0,5,5,2024.0,
T20,68,yes,49,0,0,0,0,0,0,0,5,80,208.0,5,5,5099.0,
T20,69,yes,48,0,0,0,0,0,0,1,5,320,208.0,5,5,5130.5,
T20,70,yes,49,0,0,0,0,0,0,0,5,160,158.0,5,5,3901.0,
T20,71,yes,48,0,0,0,0,1,0,0,20,320,280.0,5,5,3430.0,
T20,72,yes,49,0,0,0,0,0,0,0,5,320,146.0,5,5,3034.0,
T20,73,yes,49,0,0,0,0,0,0,0,5,160,170.0,5,5,2681.0,
T20,74,yes,48,0,0,0,0,0,0,1,5,320,222.0,5,5,7173.0,
T20,75,yes,49,0,0,0,0,0,0,0,5,320,194.0,5,5,3090.0,
T20,76,yes,49,0,0,0,0,0,0,0,10,160,143.0,5,5,2020.0,
T20,77,yes,49,0,0,0,0,0,0,0,5,320,134.0,5,5,2077.0,
T20,78,yes,49,0,0,0,0,0,0,0,10,320,180.0,5,5,4088.0,
T20,79,yes,49,0,0,0,0,0,0,0,10,320,188.0,5,5,3578.0,
T20,80,yes,49,0,0,0,0,0,0,0,5,160,155.0,5,5,3223.0,
T20,81,yes,49,0,0,0,0,0,0,0,5,320,146.0,5,5,2311.0,
T20,82,yes,49,0,0,0,0,0,0,0,5,160,165.0,5,5,3325.0,
T20,83,yes,49,0,0,0,0,0,0,0,10,160,157.0,5,5,2793.0,
T20,84,yes,48,0,0,0,0,1,0,0,10,320,276.0,5,5,4283.0,
T20,85,yes,49,0,0,0,0,0,0,0,10,320,309.0,5,5,4809.0,
T20,86,yes,49,0,0,0,0,0,0,0,10,160,139.0,5,5,2490.0,
T20,87,yes,49,0,0,0,0,0,0,0,10,160,158.0,5,5,2753.0,
